 ,,, ,
url,type,2nd type,3rd type,Link active?
100percentfedup.com,bias,,,
16wmpo.com,fake,,,
21stcenturywire.com,conspiracy,,,
24newsflash.com,fake,,,
24wpn.com,fake, ,,
365usanews.com,bias,conspiracy,,
4threvolutionarywar.wordpress.com,bias,conspiracy,,
70news.wordpress.com,fake,,,
82.221.129.208,conspiracy,fake,,
aanirfan.blogspot.co.uk,unreliable,,,
abcnews.com.co,fake,,,
abcnewsgo.co,fake,,,
abeldanger.net,conspiracy,,,
abovetopsecret.com,conspiracy,rumor,,
abriluno.com,satire,fake,,
aceflashman.wordpress.com,satire,,,
actforamerica.org/news,hate,,,
Acting-Man.com,unreliable,conspiracy,,
activistpost.com,conspiracy,,,
actualidadpanamericana.com,satire,,,
addictinginfo.org,clickbait,unreliable,,
adflegal.org/media,hate,,,
adobochronicles.com,satire,,,
advocate.com,political,reliable,,
aheadoftheherd.com,bias,,,
ahtribune.com,unreliable,bias,,
allnewspipeline.com,unreliable,conspiracy,,
Alt-Market.com,conspiracy,bias, ,
alternativemediasyndicate.com,fake,,,
alternet.org,political,reliable,,
americablog.com,bias,clickbait,,
americanborderpatrol.com,hate,,,
americanfreepress.net,conspiracy,bias,,
AmericanKabuki.blogspot.com,junksci,,,
americanlookout.com,bias,clickbait,,
americannews.com,fake,,,
americannewsx.com,political,bias,satire,
americanoverlook.com,fake,,,
americanpatriotdaily.com,bias,clickbait,bias,
americanpoliticnews.co,fake,,,
americanpresident.co,fake,,,
americanprogress.org,political,reliable,,
americanreviewer.com,conspiracy,,,
americanthinker.com,bias,,,
americantoday.news,rumor,bias,,
americasfreedomfighters.com,bias,clickbait,,
AmmoLand.com,bias,,,
amplifyingglass.com,clickbait,satire,,
Amposts.com,fake,,,
amren.com,hate,conspiracy,,
amren.com,hate,,,
amtvmedia.com,rumor,unreliable,,
amusmentic.com,clickbait,rumor,,
ancient-code.com,junksci,unreliable,,
anews24.org/,fake,,,
angrypatriotmovement.com,conspiracy,fake,,
anonews.co,unreliable,,,
anonhq.com,unreliable,,,
anonjekloy.tk,fake,,,
anonnews.co,unreliable,,,
anotherdayintheempire.com,bias,conspiracy,,
antiwar.com,bias,unreliable,,
antoniusaquinas.wp.com,bias,conspiracy,,
aryannationswordwide1488.org,hate,,,
asia-pacificresearch.com,unreliable,satire,,
assassinationscience.com,conspiracy,junksci,,
associatedmediacoverage.com,satire,,,
attn.com,political,clickbait,,
aurora-news.us,fake,,,
AutomaticEarth.com,unreliable,,,
automotostar.com,clickbait,,,
awarenessact.com,conspiracy,junksci,,
awazetribune.com,satire,,,
awdnews.com,conspiracy,,,
awm.com,unreliable,bias,clickbait,
BadSquad.com,unknown,,,
baptistnews.com,political,,,
barenakedislam.com,hate,,,
barnesreview.org,hate,,,
BB4SP.com,conspiracy,bias,fake,
beehivebugle.com,satire,,,
beforeitsnews.com,fake,conspiracy,rumor,
betootaadvocate.com,satire,,,
bients.com,clickbait,,,
bigamericannews.com,satire,fake,,
bigbluedimension.com,rumor,bias,,
bigbluevision.com,hate,,,
bigbluevision.org,clickbait,bias,,
bighairynews.com,fake,conspiracy,,
bignuggetnews.com,bias,rumor,,
bigpzone.com,unknown,,,
bipartisanreport.com,clickbait,bias,,
blackagendareport.com,unreliable,,,
blackgenocide.org,conspiracy,bias,hate,
blackinusrancenews.com,fake,unreliable,,
blacklistednews.com,clickbait,unreliable,,
bluenationreview.com,clickbait,unreliable,,
Boilingfrogspost.com,unreliable,,,
borowitzreport.com,satire,,,
bostonleader.com,fake,,,
bostontribune.com,satire,fake,,
breaking911.com,clickbait,unreliable,,
breakpoint.org,unreliable,,,
breitbart.com,political,unreliable,bias,
BrotherJohnF.com,bias,conspiracy,,
BullionBullsCanada.com,conspiracy,,,
burrardstreetjournal.com,satire,,,
buzzfeedusa.com,fake,rumor,,
bvanews.com,unreliable,bias,fake,
callthecops.net,satire,,,
canadafreepress.com,conspiracy,bias, ,
cannasos.com,fake,unreliable,,
cap-news.com,fake, ,,
cato.org/blog,political,reliable,,
cbsnews.com.co,fake,,,
celebtricity.com,satire,,,
centerforsecuritypolicy.org,bias,conspiracy,,
centerforsecuritypolicy.org/#articles,hate,,,
channel-7-news.com,fake,,,
channel18news.com,fake,,,
